2,70,35,0
10,50,55,0
1,50,45,0
1,10,55,0
1,60,45,0
1,35,35,0
1,55,60,0
1,50,55,0
2,50,55,0
1,55,55,0
1,55,55,0
1,50,55,0
1,35,40,0
1,1,35,0
1,10,45,0
1,50,35,0
1,45,45,0
1,30,30,0
1,15,45,0
1,45,45,0
1,30,40,0
1,35,35,0
1,10,45,0
10,30,35,0
1,55,55,0
1,55,55,0
1,45,55,0
1,40,30,0
1,50,45,0
1,10,45,0
1,70,65,0
1,45,30,0
10,30,30,0
1,11,55,0
1,5,55,0
1,60,55,0
1,55,55,0
1,15,25,0
10,65,55,0
1,50,55,0
1,75,45,0
10,40,45,0
1,35,45,0
2,60,55,0
10,35,45,0
1,70,55,0
1,5,35,0
1,50,55,0
1,55,55,0
1,50,55,0
1,45,45,0
1,10,45,0
1,45,45,0
10,48,55,0
1,75,45,0
1,45,45,0
2,55,55,0
1,10,45,0
1,55,55,0
1,45,45,0
1,55,55,0
1,10,55,0
1,70,35,0
1,10,45,0
10,50,35,0
1,30,45,0
1,57,55,0
1,55,55,0
10,55,55,0
1,5,0,0
1,45,0,0
1,50,45,0
1,55,55,0
1,60,45,0
1,60,55,0
1,50,45,0
5,55,55,0
1,35,45,0
2,35,35,0
1,15,30,0
10,45,45,0
1,65,65,0
1,15,45,0
2,55,55,0
2,20,35,0
1,10,35,0
10,45,45,0
10,40,40,0
10,50,55,0
1,75,55,0
1,10,45,0
10,35,35,0
1,30,30,0
10,40,40,0
1,50,55,0
1,33,35,0
10,49,45,0
1,25,25,0
1,25,30,0
1,35,45,0
1,50,25,0
1,53,45,0
1,40,40,0
4,45,55,0
1,20,35,0
1,20,40,0
1,40,40,0
1,35,35,0
1,44,45,0
1,30,35,0
1,10,35,0
1,10,0,0
1,10,40,0
1,30,35,0
1,35,45,0
10,6,25,0
1,32,35,0
1,35,25,0
1,10,40,0
1,26,40,0
1,39,40,0
1,40,40,0
1,45,45,0
1,40,40,0
1,45,40,0
1,15,35,0
1,31,55,0
1,40,40,0
10,3,40,0
1,79,40,0
1,20,40,0
